"Median_value_Home" "health_service" "Total_Occup" "Median_Age_School" "Papulation_Tot" "Region"
2.91 2.27 2.265 14.2 5.935 1
2.62 0.75 0.597 13.1 1.523 2
1.72 1.11 1.237 12.7 2.599 3
3.02 0.81 1.649 15.2 4.009 4
2.22 2.5 2.312 14.7 4.687 5
2.36 4.51 3.641 15.6 8.044 6
1.97 1.03 1.244 13.3 2.766 7
1.85 2.39 2.618 17 6.538 8
2.01 5.52 3.147 12.9 6.451 9
1.82 2.18 1.606 12.2 3.314 10
1.8 2.83 2.119 13 3.777 11
4.25 0.84 0.798 13.8 1.53 12
2.64 1.75 1.336 13.6 2.768 13
3.17 1.91 2.763 14.9 6.585 14
