"","X1","X2","X3","X4","X5","X6"
"1",-0.12,"0.36",0.4,"0.25","1.37",-0.13
"2",-0.6,"-0.35",0.04,"-0.28","-0.25",-0.15
"3",-0.13,"0.05",0.84,"0.61","1.45",0.25
"4",-0.46,"-0.37",0.3,"0.00","-0.12",-0.25
"5",-0.46,"-0.24",0.37,"0.13","0.78",-0.15
"6",-0.46,"-0.16",0.07,"0.10","1.15",-0.18
"7",-0.46,"-0.24",0.13,"O.D2","0.26",-0.2
"8",-0.13,"0.05",-0.01,"0.09","-0.15",-0.18
"9",-0.31,"-0.16",-0.2,"0.23","0.65",0.15
"10",-0.37,"-0.24",0.37,"0.21","1.15",0.05
"11",-1.08,"-0.83",-0.81,"0.05","0.21",0
"12",-0.42,"-0.30",0.37,"-0.58","0.00",-0.45
"13",-0.31,"0.10",-0.24,"0.24","0.65",0.35
"14",-0.14,"0.06",0.18,"-0.50","1.25",0.05
"15",-0.61,"-0.35",-0.24,"0.75","0.15",-0.2
"16",-0.61,"-0.30",-0.2,"-0.21","-0.50",-0.25
"17",-0.84,"-0.35",-0.14,"-0.22","L65",-0.05
"18",-0.96,"-0.85",0.19,"-0.18","1.00",-0.08
"19",-0.9,"-0.34",-0.78,"-0.15","0.25",0.25
"20",-0.46,"0.36",0.24,"-0.58","0.15",0.25
"21",-0.9,"-0.59",0.13,"0.13","0.60",-0.08
"22",-0.61,"-0.50",-0.34,"-0.58","0.95",-0.08
"23",-0.61,"-0.20",-0.58,"-0.20","1.10",0
"24",-0.46,"-0.30",-0.1,"-0.10","0.75",-0.1
"25",-0.6,"-0.35",-0.45,"0.37","1.18",-0.3
"26",-0.6,"-0.36",-0.34,"-0.11","1.68",-0.32
"27",-0.31,"0.35",-0.45,"-0.10","1.00",-0.25
"28",-0.6,"-0.25",-0.42,"0.28","0.75",0.1
"29",-0.31,"0.25",-0.34,"-0.24","0.65",0.1
"30",-0.36,"-0.16",0.15,"-0.38","1.18",-0.1
"31",-0.4,"-0.12",-0.48,"-0.34","0.30",-0.2
"32",-0.6,"-0.40",-0.2,"0.32","0.50",0.1
"33",-0.47,"-0.16",-0.34,"-0.31","0.85",0.6
"34",-0.46,"-0.18",0.16,"O.Dl","0.60",0.35
"35",-0.44,"-0.12",-0.2,"-0.48","1.40",0.1
"36",-0.9,"-0.40",0.75,"-0.31","0.60",-0.1
"37",-0.5,"-0.35",0.84,"-0.52","0.35",-0.75
"38",-0.38,"0.08",0.55,"-0.15","0.80",-0.1
"39",-0.6,"-0.35",-0.35,"-0.34","0.60",0.85
"40",0.11,"0.24",0.15,"0.40","0.00",-0.1
"41",0.05,"0.12",0.85,"0.55","1.65",-0.1
"42",-0.85,"-0.65",0.5,"0.35","0.80",-0.21
"43",-0.37,"-0.10",-0.1,"-0.58","1.85",-0.11
"44",-0.11,"0.24",0.75,"-0.10","0.65",-0.1
"45",-0.6,"--0.24",0.13,"0.84","0.85",0.15
"46",-0.84,"-0.59",0.05,"0.61","1.00",0.2
"47",-0.46,"-0.16",0.37,"-0.15","0.68",0.25
"48",-0.56,"-0.35",-0.1,"0.75","0.45",0.2
"49",-0.56,"-0.16",0.37,"-0.25","1.05",0.15
"50",-0.25,"-0.12",-0.05,"-0.20","1.21",0.1
